t,theta1,theta2,omega1,omega2
0.0,2.0943951023931953,-0.17453292519943295,0.0,0.0
1.0,-1.5296027169835247,0.26205768620860836,-2.03523483525871,-4.095567663924885
2.0,1.1525174865129844,-0.44995803079029073,-0.07625784550341941,5.9072511365653515
3.0,-0.6491365040109566,4.389853944791374,-1.3499093944622167,5.239720994307178
4.0,1.880854488400533,6.427718227662963,2.203801509505225,0.48862034595328074
5.0,-0.6144015376281537,7.121215116986341,-4.722184354604706,-1.2989967540337175
6.0,0.43466018313475935,3.4097979276779595,2.908818140647553,-0.4348484255999377
7.0,0.6068639882439337,-0.2299231678185195,-3.82868019007573,-3.067419137692358
8.0,-0.7800864148409575,-2.39143804231208,2.797241488586334,-1.075126758564087
9.0,0.25539672260379337,3.089796192236428,2.2619296012133803,6.245961218584014
10.0,-0.20004762412041882,9.667272002139935,2.093744204923158,6.2002104022787785
