t,theta1,theta2,omega1,omega2
0.0,2.0943951023931953,-0.17453292519943295,0.0,0.0
1.0,-1.5296027169835247,0.26205768620860836,-2.03523483525871,-4.095567663924885
2.0,1.1525174865129844,-0.44995803079029073,-0.07625784550341941,5.9072511365653515
3.0,-0.16478826563213705,2.525187721756385,-1.425451048427017,3.3962887994620665
4.0,-0.46492846964617424,7.182227804594985,4.667701318079315,1.5928203384287154
5.0,-0.46492846964617424,7.182227804594985,4.667701318079315,1.5928203384287154
6.0,1.8284196089766924,6.303197937962223,-2.4600176377727596,-0.8767534547242225
7.0,-0.8375793110584544,4.567187284505541,2.689127156796749,-5.572546829965724
8.0,0.43466018313475935,3.4097979276779595,2.908818140647553,-0.4348484255999377
9.0,0.6068639882439337,-0.2299231678185195,-3.82868019007573,-3.067419137692358
